STATE_FISCAL_YEAR,COUNTY_NAME,PROVIDER_TYPE,FAC_FDR,COUNT
SFY2020-21,1_CALIFORNIA,NON-LONG-TERM CARE,HOME HEALTH AGENCY,2625
SFY2020-21,1_CALIFORNIA,NON-LONG-TERM CARE,HOSPICE,2170
SFY2020-21,1_CALIFORNIA,NON-LONG-TERM CARE,HOSPICE FACILITY,15
SFY2020-21,1_CALIFORNIA,NON-LONG-TERM CARE,PRIMARY CARE CLINIC,2730
SFY2020-21,1_CALIFORNIA,NON-LONG-TERM CARE,PSYCHOLOGY CLINIC,24
SFY2020-21,1_CALIFORNIA,NON-LONG-TERM CARE,REFERRAL AGENCY,3
SFY2020-21,1_CALIFORNIA,NON-LONG-TERM CARE,REHABILITATION CLINIC,131
SFY2020-21,1_CALIFORNIA,NON-LONG-TERM CARE,SURGICAL CLINIC,836
SFY2021-22,1_CALIFORNIA,LONG-TERM CARE,CONGREGATE LIVING HEALTH FACILITY,260
SFY2021-22,1_CALIFORNIA,LONG-TERM CARE,INTERMEDIATE CARE FACILITY,8
SFY2021-22,1_CALIFORNIA,LONG-TERM CARE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,1051
SFY2021-22,1_CALIFORNIA,LONG-TERM CARE,PEDIATRIC DAY HEALTH & RESPITE CARE FACILITY,21
SFY2021-22,1_CALIFORNIA,LONG-TERM CARE,SKILLED NURSING FACILITY,1206
SFY2021-22,1_CALIFORNIA,NON-LONG-TERM CARE,ACUTE PSYCHIATRIC HOSPITAL,126
SFY2021-22,1_CALIFORNIA,NON-LONG-TERM CARE,ADULT DAY HEALTH CARE,312
SFY2021-22,1_CALIFORNIA,NON-LONG-TERM CARE,ALTERNATIVE BIRTHING CENTER,11
SFY2021-22,1_CALIFORNIA,NON-LONG-TERM CARE,CHEMICAL DEPENDENCY RECOVERY HOSPITAL,9
SFY2021-22,1_CALIFORNIA,NON-LONG-TERM CARE,CHRONIC DIALYSIS CLINIC,769
SFY2021-22,1_CALIFORNIA,NON-LONG-TERM CARE,CORRECTIONAL TREATMENT CENTER,21
